iter	Passed	Remaining
1601	4522	51936
1602	4524	51926
1603	4526	51917
1604	4529	51908
1605	4531	51903
1606	4534	51898
1607	4537	51894
1608	4539	51887
1609	4542	51882
1610	4544	51878
1611	4547	51875
1612	4550	51868
1613	4553	51867
1614	4555	51860
1615	4557	51851
1616	4560	51841
1617	4562	51835
1618	4565	51829
1619	4567	51821
1620	4570	51815
1621	4573	51815
1622	4576	51813
1623	4578	51808
1624	4581	51807
1625	4584	51799
1626	4586	51795
1627	4589	51791
1628	4592	51789
1629	4594	51783
1630	4597	51775
1631	4599	51771
1632	4602	51766
1633	4605	51762
1634	4607	51756
1635	4609	51745
1636	4612	51736
1637	4614	51724
1638	4616	51712
1639	4618	51706
1640	4621	51706
1641	4623	51694
1642	4625	51685
1643	4627	51672
1644	4630	51663
1645	4632	51655
1646	4635	51649
1647	4637	51640
1648	4639	51628
1649	4641	51616
1650	4643	51605
1651	4645	51595
1652	4647	51585
1653	4649	51575
1654	4652	51565
1655	4654	51558
1656	4657	51560
1657	4660	51552
1658	4662	51543
1659	4664	51532
1660	4666	51523
1661	4668	51514
1662	4671	51505
1663	4673	51500
1664	4675	51492
1665	4678	51486
1666	4680	51477
1667	4683	51470
1668	4685	51460
1669	4687	51450
1670	4689	51443
1671	4692	51440
1672	4695	51433
1673	4697	51423
1674	4699	51414
1675	4701	51402
1676	4703	51395
1677	4706	51389
1678	4709	51383
1679	4711	51375
1680	4713	51364
1681	4715	51354
1682	4717	51346
1683	4720	51337
1684	4722	51331
1685	4724	51321
1686	4726	51311
1687	4729	51302
1688	4731	51292
1689	4733	51282
1690	4736	51279
1691	4738	51270
1692	4740	51258
